iddesa,B1_MarketAccess_score,B2_Perbankan_score,B3_AgriInfra_score,B4_Physical_Connectivity_score,B5_Digital_Connectivity_score,B6_HumanCapital_score,B7_Health_score
7401050016,1.0817970644988792,-0.3308759096727273,-0.2568479535287609,1.165864515410082,1.493666157058982,-0.2950771553274504,-0.17619452736707852
7401050019,-0.7770455076879406,-0.3308759096727273,-1.4752583028168516,1.165864515410082,1.493666157058982,-0.9267053735788015,-0.17619452736707852
7401050020,-0.2805050907575486,-0.3308759096727273,-1.4752583028168516,1.165864515410082,-0.4563259938515798,-0.06385709685093505,-0.17619452736707852
7401050021,1.3405081315880978,1.2997129154576343,-1.4752583028168516,1.165864515410082,0.3407842468524084,1.6236769575040588,-0.17619452736707852
7401050022,-0.2805050907575486,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,-0.9267053735788015,-0.17619452736707852
7401050023,1.7919963850366225,-0.3308759096727273,0.5740252195702229,1.165864515410082,0.3407842468524084,1.846092740544121,-0.17619452736707852
7401050025,0.10372594694303011,-0.3308759096727273,0.9487834712310574,1.165864515410082,0.3407842468524084,-0.06385709685093505,-0.07771807336523329
7401050027,-0.6950200561406923,-0.3308759096727273,-1.4752583028168516,1.165864515410082,0.3407842468524084,-0.9267053735788015,-0.17619452736707852
7401050028,-0.9662173720700553,-0.3308759096727273,-1.4752583028168516,1.165864515410082,1.493666157058982,0.9920487392527079,-0.17619452736707852
7401050029,-0.21346575943873344,-0.3308759096727273,-0.09876982556191259,1.165864515410082,0.3407842468524084,1.6236769575040588,-0.17619452736707852
7401050030,-0.2618198457553564,-0.3308759096727273,-0.5429443347671257,0.6455335836972547,0.3407842468524084,0.567771121400416,-0.17619452736707852
7401050031,0.20104920594441034,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,0.3407842468524084,2.19574557999327,-0.17619452736707852
7401050032,-0.6950200561406923,-0.3308759096727273,0.5740252195702229,0.6455335836972547,0.3407842468524084,1.4306193981282822,-0.17619452736707852
7401051008,3.397202137996461,2.5771340673209866,-1.4752583028168516,0.6455335836972547,1.493666157058982,3.7573142620551288,2.830721663073692
7401051009,-1.3484485207989154,1.2997129154576343,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,-0.9267053735788015,-0.3445411374154851
7401051011,-0.42382274021132926,-0.3308759096727273,-0.38904166808209883,1.165864515410082,0.3407842468524084,-0.2950771553274504,-0.17619452736707852
7401051012,1.3774814196534788,-0.3308759096727273,0.021876634089951674,1.165864515410082,1.493666157058982,4.804415822722318,-0.17619452736707852
7401051013,-0.3127889074118329,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,0.3407842468524084,1.6236769575040588,-0.17619452736707852
7401051014,-1.3484485207989154,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,0.3407842468524084,-0.9267053735788015,-0.17619452736707852
7401051015,1.6842564675006255,-0.3308759096727273,0.5432722999676272,1.165864515410082,0.3407842468524084,1.831027557903118,-0.17619452736707852
7401051017,-0.6950200561406923,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,-0.9267053735788015,-0.17619452736707852
7401051021,1.302025318771766,1.2997129154576343,-1.4752583028168516,0.6455335836972547,1.493666157058982,0.7012690850140524,-0.17619452736707852
7401051023,-0.9662173720700553,-0.3308759096727273,-0.4789352081313674,0.12520265198442712,0.3407842468524084,0.34408365424440207,-0.17619452736707852
7401052002,1.6303733447739845,1.2997129154576343,-1.4752583028168516,1.165864515410082,1.493666157058982,2.2628377670759114,-0.17619452736707852
7401052004,-0.5497025177151927,-0.3308759096727273,0.37982881145363784,1.165864515410082,-0.8120976633541652,-0.06385709685093505,-0.17619452736707852
7401052005,1.8946134482732215,-0.3308759096727273,3.378232376187587,0.6455335836972547,-2.3207512430633237,4.38894248030648,-0.07771807336523329
7401052006,-0.2618198457553564,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,2.25530517575541,-0.17619452736707852
7401052007,-0.3127889074118329,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,2.25530517575541,-0.3445411374154851
7401052008,-0.48466307536809655,1.2997129154576343,-0.4789352081313674,0.12520265198442712,0.3407842468524084,1.1993993396517673,-0.3445411374154851
7401052009,1.4473428571972657,-0.3308759096727273,-0.4789352081313674,1.165864515410082,0.3407842468524084,3.5260942035786136,-0.3445411374154851
7401052011,1.5432932001215434,-0.3308759096727273,-1.4752583028168516,1.165864515410082,0.3407842468524084,0.12920046252484146,-0.3445411374154851
7401060006,0.7571544116012536,1.2997129154576343,-0.833216177287312,0.6455335836972547,1.493666157058982,0.34408365424440207,-0.17619452736707852
7401060007,0.5081392486497995,4.207722892451349,-1.4752583028168516,0.6455335836972547,1.493666157058982,3.259184007417415,-0.17619452736707852
7401060008,-0.8668942240969559,-0.3308759096727273,-0.4789352081313674,0.6455335836972547,1.493666157058982,0.33655106292390086,-0.17619452736707852
7401060009,2.951776272036135,-0.3308759096727273,-0.833216177287312,0.6455335836972547,1.493666157058982,1.8385601492236197,1.3272635678533067
7401060010,0.6312746340973896,-0.3308759096727273,0.6639187596194914,0.6455335836972547,1.493666157058982,2.663245926850747,-0.3445411374154851
7401060011,-0.6950200561406923,1.2997129154576343,1.1594300120836565,0.6455335836972547,1.493666157058982,1.6236769575040588,-0.3445411374154851
7401060013,1.2975491544882598,1.2997129154576343,-1.4752583028168516,0.6455335836972547,1.493666157058982,0.9757118724957532,1.1589169578049001
7401060017,1.6764194205258398,1.2997129154576343,-0.4789352081313674,1.668253587092138,1.493666157058982,-0.06385709685093505,-0.17619452736707852
7401060018,0.29089792235342604,-0.3308759096727273,-0.4789352081313674,0.6455335836972547,1.493666157058982,0.9920487392527079,-0.3445411374154851
7401060019,0.755154522629534,-0.3308759096727273,-0.03476069892615435,0.6455335836972547,1.493666157058982,0.34408365424440207,-0.3445411374154851
7401060020,0.10372594694303011,-0.3308759096727273,-1.0310837936116386,0.6455335836972547,1.493666157058982,2.2628377670759114,-0.17619452736707852
7401060021,0.3664685155673155,2.9303017405879963,-1.4752583028168516,0.6455335836972547,1.493666157058982,2.2032781713137717,-0.17619452736707852
7401060022,-0.04159159148246938,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-2.3207512430633237,0.567771121400416,-0.3445411374154851
7401060029,0.06944224131702698,-0.3308759096727273,-0.2713374373427947,0.6455335836972547,-0.8120976633541652,1.1993993396517673,-0.3445411374154851
7401060030,2.1634469274870294,-0.3308759096727273,-0.5429443347671257,0.6455335836972547,0.3407842468524084,0.9845161479322064,-0.3445411374154851
7401060031,0.5513214295239584,-0.3308759096727273,0.4533787599183585,1.165864515410082,0.3407842468524084,-0.5099603470470111,-0.3445411374154851
7401061025,0.047842935244669815,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,0.3407842468524084,-0.2950771553274504,-0.3445411374154851
7401061027,-0.12361704302971765,-0.3308759096727273,-0.833216177287312,1.165864515410082,0.3407842468524084,-0.2950771553274504,-0.3445411374154851
7401061028,-0.3625305423047968,-0.3308759096727273,-1.4752583028168516,1.165864515410082,0.3407842468524084,0.567771121400416,-0.3445411374154851
7401061030,1.3343091354260501,1.2997129154576343,-0.833216177287312,1.165864515410082,0.3407842468524084,0.9324891434905679,-0.3445411374154851
7401062001,-0.42382274021132926,-0.3308759096727273,-1.4752583028168516,0.6455335836972547,-0.8120976633541652,-0.9267053735788015,-0.17619452736707852
