iddesa,iddesa,mean_ndvi,mean_ntl,z_NDVI,z_NTL,luas
7401050016,7401050016,0.5610099507269458,0.3047813668940631,2.0202842980531446,-0.33682202721510923,20727677.330390055
7401050019,7401050019,0.4850702420086928,0.3234520365034965,1.3445783661659543,-0.31938381132963917,11709427.815252734
7401050020,7401050020,0.4609661444187941,0.3037359371220167,1.1301018821342548,-0.3377984480098317,34882649.79077981
7401050021,7401050021,0.5175454616546631,0.3519808215490138,1.6335404773525504,-0.29273821569858893,19052776.29486341
7401050022,7401050022,0.2438424550569974,0.882280327161986,-0.8018487051312155,0.20255613936646746,12043406.005594289
7401050023,7401050023,0.3452494028361633,0.3033880577303443,0.10046284314164523,-0.3381233638302597,55425579.38893603
7401050025,7401050025,0.4314082145690918,0.3190739780007113,0.8670976005685992,-0.32347287352868387,20595553.094979137
7401050027,7401050027,0.4659657642759126,0.3344416148668412,1.1745881311817699,-0.3091196566957063,14476085.41855726
7401050028,7401050028,0.548412697655814,0.3361809868807954,1.9081948685660137,-0.3074951008913899,17325466.724097908
7401050029,7401050029,0.566614203982883,0.3176177261569664,2.0701505305255985,-0.32483299796803483,24523907.312973265
7401050030,7401050030,0.3642642974853515,0.3317182120340062,0.26965597444974815,-0.3116632872957616,8478887.07183544
7401050031,7401050031,0.3600666125615437,0.3249614726044645,0.23230528334117678,-0.317974013333926,42497541.90522158
7401050032,7401050032,0.3491044680277506,0.3126241710248248,0.1347649291218782,-0.32949692777086764,12491964.265243897
7401051008,7401051008,0.3074148962523663,0.5299806651607311,-0.23618580827136365,-0.12648816867763285,9132403.139477322
7401051009,7401051009,0.4425024773092831,0.3308329337661412,0.9658135328521326,-0.3124901282113089,21445258.37184636
7401051011,7401051011,0.3613262738622139,0.3989422308344715,0.24351365676527692,-0.24887673614072842,8107322.587806467
7401051012,7401051012,0.4276484054623892,0.4188815950009646,0.8336430962118848,-0.23025357241773942,20639307.009196203
7401051013,7401051013,0.3510913095976177,0.4417043745921357,0.15244369899259508,-0.20893732795823394,7560317.253471993
7401051014,7401051014,0.4809231758117676,0.3013155683053475,1.3076780767588962,-0.3400590479149477,21969491.52648285
7401051015,7401051015,0.442054365664684,0.422815025095715,0.961826268461552,-0.22657978863828643,9325056.855832335
7401051017,7401051017,0.5514056947496202,0.3365654792221819,1.9348263361412883,-0.3071359889475944,9137912.894068174
7401051021,7401051021,0.3447527745507371,0.4992303315849427,0.09604388125636247,-0.15520866808456815,4690647.292878402
7401051023,7401051023,0.4923984087430514,0.3431432145497671,1.409783853727619,-0.30099245092355054,5307218.163861994
7401052002,7401052002,0.3991679816410459,0.313346996437867,0.5802263838810237,-0.3288218161726331,46334872.32645164
7401052004,7401052004,0.3726181745529174,0.3296323968582625,0.3439881569677707,-0.3136114174963748,20611878.9572483
7401052005,7401052005,0.4349251247587658,0.3191632278588696,0.8983908082617446,-0.32338951506715735,53641140.93353621
