iddesa,has_agri,is_urban,is_analytic,is_ndvi_exc,is_ntl_exc
7402081003,False,True,False,False,False
7402081004,False,True,False,False,False
7402081005,False,True,False,False,False
7402081006,False,True,False,False,False
7402081007,True,True,True,False,False
7402083001,False,True,False,False,False
7402083002,False,True,False,False,False
7402083003,False,True,False,False,False
7402083004,False,True,False,False,False
7402083005,False,True,False,False,False
7402090009,False,True,False,False,False
7402090010,False,True,False,False,False
7402090011,True,True,True,False,False
7402090012,True,True,True,True,False
7402090013,True,True,True,False,False
7402091001,False,True,False,False,False
7402091002,False,True,False,False,False
7402091007,True,True,True,False,False
7402091008,True,True,True,False,False
7402091009,False,True,False,False,False
7402091010,True,True,True,False,False
7402092001,False,True,False,False,False
7402092002,True,True,True,False,False
7402092003,False,True,False,False,False
7402092004,True,True,True,False,False
7402111004,True,True,True,False,False
7402111005,True,True,True,False,False
7402111006,False,True,False,False,False
7402111007,False,True,False,False,False
7402111008,True,True,True,False,False
7402111009,True,True,True,False,False
7402112001,True,True,True,False,False
7402112002,True,True,True,True,False
7402112003,True,True,True,True,False
7402112004,False,True,False,False,False
7403090010,False,True,False,False,False
7403090011,False,True,False,False,False
7403090012,True,True,True,False,False
7403090013,True,True,True,False,False
7403090014,False,True,False,False,False
7403090015,False,True,False,False,False
7403090016,False,True,False,False,False
7403090017,False,True,False,False,False
7403090018,True,True,True,False,False
7403090019,True,True,True,False,False
7403090020,False,True,False,False,False
7403090023,False,True,False,False,False
7403090024,False,True,False,False,False
7403090025,False,True,False,False,False
7403090026,False,True,False,False,False
7403091001,False,True,False,False,False
7403091002,False,True,False,False,False
7403091003,False,True,False,False,False
7403091004,False,True,False,False,False
7403091005,False,True,False,False,False
7403091006,False,True,False,False,False
7403091007,False,True,False,False,False
7403091008,False,True,False,False,False
7403091009,True,True,True,False,False
7403091010,True,True,True,False,False
7403091011,True,True,True,False,False
7403100010,False,True,False,False,False
7403100011,False,True,False,False,False
7403100012,False,True,False,False,False
7403100013,True,True,True,False,False
7403100014,False,True,False,False,False
7403100015,True,True,True,False,False
7403100016,True,True,True,False,False
7403100017,True,True,True,False,False
7403100018,True,True,True,False,False
7403100019,True,True,True,False,False
7403100020,False,True,False,False,False
7403100021,False,True,False,False,False
7403100022,False,True,False,False,False
7403100023,False,True,False,False,False
7403100024,True,True,True,False,False
7403101010,True,True,True,False,False
7403101011,True,True,True,False,True
7403101012,True,True,True,False,True
7403101013,True,True,True,False,False
7403101014,True,True,True,False,False
7403101015,True,True,True,True,False
7403101026,True,True,True,False,False
7403101027,True,True,True,False,False
7403101028,True,True,True,False,False
7403102001,False,True,False,False,False
7403102002,False,True,False,False,False
7403102003,True,True,True,False,False
7403102004,True,True,True,True,False
7403102005,False,True,False,False,False
7403102006,True,True,True,False,False
7403102007,False,True,False,False,False
7403102008,False,True,False,False,False
7403102009,True,True,True,False,False
7403102010,True,True,True,False,False
7403102011,False,True,False,False,False
7403102012,False,True,False,False,False
7403102013,False,True,False,False,False
7403102014,False,True,False,False,False
7403102015,True,True,True,True,False
7403102016,False,True,False,False,False
