iddesa,quadrant
7403142015,4.0
7403143001,3.0
7403143002,3.0
7403143003,3.0
7403143004,3.0
7403143005,3.0
7403143006,4.0
7403143007,4.0
7403143008,4.0
7403143009,4.0
7403143010,3.0
7403143011,3.0
7403143012,4.0
7403143013,4.0
7403143014,4.0
7403150004,2.0
7403150009,4.0
7403150010,2.0
7403150011,2.0
7403150012,4.0
7403150013,2.0
7403150014,2.0
7403150015,4.0
7403150016,2.0
7403150017,2.0
7403150018,4.0
7403150019,4.0
7403150027,4.0
7403150030,3.0
7403150031,1.0
7403150032,1.0
7403150033,1.0
7403150034,1.0
7403150035,3.0
7403151001,1.0
7403151002,1.0
7403151003,1.0
7403151004,1.0
7403151005,1.0
7403151006,1.0
7403151007,1.0
7403151008,3.0
7403152001,4.0
7403152002,2.0
7403152003,4.0
7403152004,4.0
7403152005,2.0
7403152006,4.0
7403152007,3.0
7403152008,4.0
7403152009,2.0
7403152010,3.0
7403152011,4.0
7403152012,4.0
7403170001,2.0
7403170002,4.0
7403170003,4.0
7403170004,2.0
7403170005,2.0
7403170006,4.0
7403170007,4.0
7403170012,4.0
7403170013,2.0
7403170014,4.0
7403170015,4.0
7403170016,2.0
7403171001,3.0
7403171002,4.0
7403171003,4.0
7403171004,4.0
7403171005,1.0
7403171006,1.0
7403171007,1.0
7403171008,4.0
7403180012,1.0
7403180013,3.0
7403180014,3.0
7403180015,3.0
7403180016,3.0
7403180017,3.0
7403180018,3.0
7403180025,3.0
7403180035,3.0
7403180042,3.0
7403180043,3.0
7403180044,3.0
7403181001,1.0
7403181002,3.0
7403181003,1.0
7403181005,1.0
7403181006,1.0
7403181007,1.0
7403181008,1.0
7403181009,1.0
7403181011,1.0
7403182001,2.0
7403182002,2.0
7403182003,1.0
7403182004,1.0
7403182005,1.0
7403182006,1.0
7403182011,3.0
7403182013,3.0
7403182015,2.0
7403182016,1.0
7403183001,3.0
7403183002,3.0
7403183003,3.0
7403183004,1.0
7403183005,1.0
7403183006,1.0
7403183007,3.0
7403183008,1.0
7403183009,1.0
7403184001,3.0
7403184002,3.0
7403184003,3.0
7403184004,3.0
7403184005,3.0
7403184006,3.0
7403184007,3.0
7403184008,3.0
7403184009,3.0
7403184010,3.0
7403184011,3.0
7403185001,3.0
7403185002,3.0
7403185003,3.0
7403185004,1.0
7403185005,3.0
7403185006,4.0
7403185007,3.0
7403185008,3.0
7403185009,3.0
7403185010,3.0
7404010004,1.0
7404010006,3.0
7404010007,3.0
7404010008,4.0
7404010009,1.0
7404010010,2.0
7404010011,1.0
7404010013,1.0
7404010017,3.0
7404010018,1.0
7404010020,3.0
7404010021,4.0
7404010022,3.0
7404010023,1.0
7404011001,3.0
7404011002,1.0
7404011003,2.0
7404011004,2.0
7404011008,1.0
7404011009,1.0
7404011011,3.0
7404011013,1.0
7404011014,3.0
7404012001,3.0
7404012002,1.0
7404012003,3.0
7404012004,1.0
7404012005,1.0
7404012006,3.0
7404012007,4.0
7404012009,1.0
7404012010,1.0
7404013001,3.0
7404013002,1.0
7404013003,3.0
7404013005,3.0
7404013006,3.0
7404013007,3.0
7404020001,3.0
7404020002,3.0
7404020003,3.0
7404020004,3.0
7404020005,4.0
7404020006,4.0
7404020007,4.0
7404020008,4.0
7404020009,4.0
7404020010,4.0
7404020011,3.0
7404020012,3.0
7404030007,3.0
7404030011,2.0
7404030012,4.0
7404030013,4.0
7404030014,4.0
7404030016,1.0
7404030017,2.0
7404030019,3.0
7404030020,4.0
7404031001,2.0
7404031002,4.0
7404031003,3.0
7404031004,1.0
7404031005,2.0
7404031006,4.0
7404031007,4.0
7404031008,4.0
7404031009,4.0
7404060008,1.0
7404060009,4.0
7404060010,2.0
7404060011,2.0
7404060012,2.0
7404060013,2.0
7404060014,4.0
7404061001,3.0
7404061002,3.0
7404061003,4.0
7404061004,4.0
7404070010,4.0
7404070011,4.0
7404070012,3.0
7404070013,1.0
7404070014,1.0
7404070015,1.0
7404070016,2.0
7404070017,1.0
7404070018,3.0
7404070024,4.0
7404070025,3.0
7404070027,4.0
7404070028,1.0
7404071001,3.0
7404071002,3.0
7404071003,3.0
7404071004,3.0
7404071005,1.0
7404071006,1.0
7404071007,3.0
7404071008,2.0
7404071010,3.0
7404071011,3.0
7404071012,1.0
7404071013,4.0
7404071014,3.0
7404071015,2.0
7404071017,3.0
7404071018,3.0
7404071019,1.0
7404072001,1.0
7404072002,4.0
7404072003,3.0
7404072004,3.0
7404072006,1.0
7404072007,1.0
7404072008,2.0
7405010001,1.0
7405010002,1.0
7405010005,2.0
7405010006,2.0
7405010007,1.0
7405010008,1.0
7405010009,1.0
7405010012,3.0
7405010013,3.0
7405010014,1.0
7405010015,1.0
7405010016,1.0
7405010017,1.0
7405010038,1.0
7405010040,1.0
7405010041,1.0
7405010042,1.0
7405010043,1.0
7405010044,3.0
7405010045,2.0
7405010046,3.0
7405010047,1.0
7405011001,1.0
7405011002,1.0
7405011003,3.0
7405011004,3.0
7405011005,1.0
7405011006,3.0
7405011007,3.0
7405011008,3.0
7405011009,3.0
7405011010,4.0
7405011011,1.0
7405011012,1.0
7405011013,1.0
7405011014,1.0
7405011015,1.0
7405011017,3.0
7405011018,3.0
7405020001,1.0
7405020002,1.0
7405020003,1.0
7405020012,1.0
7405020013,2.0
7405020014,2.0
7405020015,2.0
7405020016,3.0
7405020031,1.0
7405020033,3.0
7405021001,1.0
7405021002,1.0
7405021003,1.0
7405021004,1.0
7405021005,2.0
7405021006,1.0
7405021007,1.0
7405021008,1.0
7405021009,1.0
7405021010,1.0
7405021011,1.0
7405021012,1.0
7405021013,1.0
7405021014,1.0
7405021015,1.0
7405021016,1.0
7405022001,1.0
7405022002,1.0
7405022003,1.0
7405022004,1.0
7405022005,1.0
7405022006,3.0
7405022007,1.0
7405022008,1.0
7405022009,1.0
7405022010,1.0
7405030011,4.0
7405030012,1.0
7405030013,3.0
7405030014,1.0
7405030015,1.0
7405030016,2.0
7405030017,3.0
7405030018,1.0
7405030019,1.0
7405030020,2.0
7405030021,1.0
7405030022,3.0
7405030030,1.0
7405030032,1.0
7405030033,4.0
7405031001,1.0
7405031002,3.0
7405031003,1.0
7405031004,1.0
7405031005,1.0
7405031007,1.0
7405031008,1.0
7405031009,3.0
7405031010,3.0
7405032001,1.0
7405032002,3.0
7405032003,1.0
7405032004,3.0
7405032005,3.0
7405032006,3.0
7405032007,3.0
7405032008,3.0
7405040017,1.0
7405040018,1.0
7405040019,1.0
7405040020,2.0
7405040021,3.0
7405040022,1.0
7405040023,3.0
7405040024,3.0
7405040025,1.0
7405040026,1.0
7405040027,3.0
7405040028,3.0
7405041001,1.0
7405041003,1.0
7405041004,3.0
7405041005,1.0
